IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,42178,99.86.109.23,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,configs.agario.miniclippt.com,192378,37686900,2522,5848,2026-06-26T21:32:56.395+02:00,2026-06-26T21:33:31.757+02:00
17,10.215.173.1,35036,10.215.173.2,53,10077,Galaxy Store,com.sec.android.app.samsungapps,DNS,Closed,ureca.samsungapps.com,67,273,1,1,2026-06-26T21:32:56.410+02:00,2026-06-26T21:32:56.435+02:00
6,10.215.173.1,50448,52.49.93.39,443,10077,Galaxy Store,com.sec.android.app.samsungapps,HTTPS,Closed,ureca.samsungapps.com,2883,6549,9,10,2026-06-26T21:32:56.443+02:00,2026-06-26T21:34:30.851+02:00
17,10.215.173.1,48209,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,mobile-live-v26.agario.miniclippt.com,83,131,1,1,2026-06-26T21:32:59.141+02:00,2026-06-26T21:32:59.167+02:00
6,10.215.173.1,56070,15.236.65.71,9000,10345,Agar.io,com.miniclip.agar.io,TCP,Closed,mobile-live-v26.agario.miniclippt.com,1373,2113,20,19,2026-06-26T21:32:59.172+02:00,2026-06-26T21:33:31.759+02:00
17,10.215.173.1,58178,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,ec2-13-38-15-43.eu-west-3.compute.amazonaws.com,93,109,1,1,2026-06-26T21:33:04.761+02:00,2026-06-26T21:33:04.784+02:00
17,10.215.173.1,53337,172.217.20.46,443,10251,Google Play Store,com.android.vending,QUIC,Closed,android.clients.google.com,26679,137895,80,142,2026-06-26T21:33:04.909+02:00,2026-06-26T21:33:28.961+02:00
17,10.215.173.1,41763,172.217.20.46,443,10251,Google Play Store,com.android.vending,QUIC,Closed,android.clients.google.com,6768,6915,33,33,2026-06-26T21:33:04.918+02:00,2026-06-26T21:33:05.804+02:00
17,10.215.173.1,32850,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,sereng-prod-bacon-cdn.agario.miniclippt.com,89,153,1,1,2026-06-26T21:33:05.016+02:00,2026-06-26T21:33:05.039+02:00
6,10.215.173.1,44450,13.227.231.38,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,sereng-prod-bacon-cdn.agario.miniclippt.com,3293,7544,15,15,2026-06-26T21:33:05.047+02:00,2026-06-26T21:33:31.757+02:00
